Entity,Code,Year,M,P,F,C,Total Calories
Afghanistan,AFG,2012,49.04,186.60,300.33,1564.03,2100.00
Albania,ALB,2012,236.84,208.40,953.55,1785.21,3184.00
Algeria,DZA,2012,100.64,260.08,683.64,2227.64,3272.00
Angola,AGO,2012,73.72,148.64,474.57,1687.07,2384.00
Antigua and Barbuda,ATG,2012,220.40,95.80,812.16,1164.64,2293.00
Argentina,ARG,2012,265.40,142.48,1033.29,1755.83,3197.00
Armenia,ARM,2012,169.24,181.76,840.24,1690.76,2882.00
Australia,AUS,2012,281.16,136.88,1371.33,1467.63,3257.00
Austria,AUT,2012,243.64,170.12,1508.94,1816.30,3739.00
Azerbaijan,AZE,2012,116.56,249.72,525.24,2163.48,3055.00
Bahamas,BHS,2012,243.40,119.80,939.06,1368.74,2671.00
Bangladesh,BGD,2012,39.48,179.08,272.34,1944.10,2435.00
Barbados,BRB,2012,198.96,149.24,784.35,1779.45,2912.00
Belarus,BLR,2012,231.48,166.72,1177.65,1824.15,3400.00
Belgium,BEL,2012,233.68,162.12,1454.04,1865.16,3715.00
Belize,BLZ,2012,119.04,167.60,706.86,1741.50,2735.00
Benin,BEN,2012,56.92,201.00,451.17,1900.91,2610.00
Bermuda,BMU,2012,250.84,103.84,1081.98,1212.34,2649.00
Bolivia,BOL,2012,120.16,140.20,481.32,1492.32,2234.00
Bosnia and Herzegovina,BIH,2012,125.00,230.84,665.55,2028.61,3050.00
Botswana,BWA,2012,106.56,157.32,587.43,1490.69,2342.00
Brazil,BRA,2012,205.76,168.56,1051.02,1822.66,3248.00
Brunei,BRN,2012,204.64,157.64,742.86,1864.86,2970.00
Bulgaria,BGR,2012,159.92,166.16,847.08,1603.84,2777.00
Burkina Faso,BFA,2012,50.44,271.72,558.09,1826.75,2707.00
Cabo Verde,,2012,109.60,178.52,624.33,1677.55,2590.00
Cambodia,KHM,2012,75.56,183.56,300.87,1872.01,2432.00
Cameroon,CMR,2012,47.48,228.52,505.44,1840.56,2622.00
Canada,CAN,2012,221.64,196.76,1341.09,1725.51,3485.00
