Death,Year,Amount,,,,,
Meningitis,1990,235480,,,,,#REF!
Parkinsons,1990,91249,,,,,#REF!
Alzheimers,1990,352767,,,,,#REF!
Nutritional deficiencies,1990,418962,,,,,#REF!
Malaria,1990,437380,,,,,#REF!
HIV/AIDS,1990,178227,,,,,#REF!
Druguse,1990,34338,,,,,#REF!
Cardiovascular diseases,1990,7331749,,,,,#REF!
Rrespiratory infections,1990,1879854,,,,,#REF!
Alcoholuse disorders,1990,70311,,,,,#REF!
Self-harm,1990,445442,,,,,#REF!
Diarrheal,1990,1592658,,,,,#REF!
Kidney disease,1990,354587,,,,,#REF!
Diabetes,1990,395669,,,,,#REF!
Malnutrition,1990,360627,,,,,#REF!
Digestive diseases,1990,1096427,,,,,#REF!
Liver diseases,1990,593587,,,,,#REF!
Respiratory diseases,1990,1843081,,,,,#REF!
Meningitis,1991,233198,,,,,
Parkinsons,1991,93528,,,,,
Alzheimers,1991,367256,,,,,
Nutritional deficiencies,1991,403411,,,,,
Malaria,1991,446523,,,,,
HIV/AIDS,1991,227816,,,,,
Druguse,1991,37861,,,,,
Cardiovascular diseases,1991,7418138,,,,,
Rrespiratory infections,1991,1859592,,,,,
Alcoholuse disorders,1991,73888,,,,,
Self-harm,1991,453494,,,,,
Diarrheal,1991,1596492,,,,,
Kidney disease,1991,361922,,,,,
Diabetes,1991,406574,,,,,
Malnutrition,1991,346562,,,,,
Digestive diseases,1991,1109885,,,,,
Liver diseases,1991,601911,,,,,
Respiratory diseases,1991,1876482,,,,,
Meningitis,1992,233198,,,,,
Parkinsons,1992,93528,,,,,
Alzheimers,1992,367256,,,,,
Nutritional deficiencies,1992,403411,,,,,
Malaria,1992,446523,,,,,
HIV/AIDS,1992,227816,,,,,
Druguse,1992,37861,,,,,
Cardiovascular diseases,1992,7418138,,,,,
Rrespiratory infections,1992,1859592,,,,,
Alcoholuse disorders,1992,73888,,,,,
Self-harm,1992,453494,,,,,
Diarrheal,1992,1596492,,,,,
Kidney disease,1992,361922,,,,,
Diabetes,1992,406574,,,,,
Malnutrition,1992,346562,,,,,
Digestive diseases,1992,1109885,,,,,
Liver diseases,1992,601911,,,,,
Respiratory diseases,1992,1876482,,,,,
Meningitis,1993,231482,,,,,
Parkinsons,1993,95944,,,,,
Alzheimers,1993,381819,,,,,
Nutritional deficiencies,1993,386920,,,,,
Malaria,1993,444373,,,,,
HIV/AIDS,1993,284834,,,,,
Druguse,1993,40879,,,,,
Cardiovascular diseases,1993,7535789,,,,,
Rrespiratory infections,1993,1845425,,,,,
Alcoholuse disorders,1993,79303,,,,,
Self-harm,1993,463635,,,,,
Diarrheal,1993,1580418,,,,,
Kidney disease,1993,371447,,,,,
Diabetes,1993,419540,,,,,
Malnutrition,1993,332097,,,,,
